"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "TypeScript", "TypeScript React", "Shell Script", "CSS", "Groovy", "Docker", "YAML", "comment", "blank", "total"
"c:\Users\brian\code\work\aics-fms-file-explorer-app\.eslintrc.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\brian\code\work\aics-fms-file-explorer-app\.github\workflows\integration.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 2, 5, 30
"c:\Users\brian\code\work\aics-fms-file-explorer-app\.github\workflows\release.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 3, 6, 39
"c:\Users\brian\code\work\aics-fms-file-explorer-app\CONTRIBUTING.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"c:\Users\brian\code\work\aics-fms-file-explorer-app\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 6, 5, 41
"c:\Users\brian\code\work\aics-fms-file-explorer-app\Jenkinsfile", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 16, 17, 148
"c:\Users\brian\code\work\aics-fms-file-explorer-app\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\brian\code\work\aics-fms-file-explorer-app\babel.config.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\brian\code\work\aics-fms-file-explorer-app\dev-docs\01-project-layout.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\brian\code\work\aics-fms-file-explorer-app\dev-docs\02-setup-and-workflow.md", "Markdown", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 62
"c:\Users\brian\code\work\aics-fms-file-explorer-app\dev-docs\03-using-localhost-datasource.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\brian\code\work\aics-fms-file-explorer-app\dev-docs\04-versioning-and-deployment.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\brian\code\work\aics-fms-file-explorer-app\dev-docs\05-code-signing.md", "Markdown", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\brian\code\work\aics-fms-file-explorer-app\dev-docs\06-monitoring-metrics-tracking.md", "Markdown", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\brian\code\work\aics-fms-file-explorer-app\docs\index.html", "HTML", 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 4, 18, 156
"c:\Users\brian\code\work\aics-fms-file-explorer-app\docs\js\scripts.js", "JavaScript", 0, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 21, 287
"c:\Users\brian\code\work\aics-fms-file-explorer-app\docs\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 0, 12, 50, 240
"c:\Users\brian\code\work\aics-fms-file-explorer-app\package-lock.json", "JSON", 30511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30512
"c:\Users\brian\code\work\aics-fms-file-explorer-app\package.json", "JSON", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 96
"c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\.mocharc.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
